"nome","idade","cpf","rg","data_nasc","sexo","signo","mae","pai","email","senha","cep","endereco","numero","bairro","cidade","estado","telefone_fixo","celular","altura","peso","tipo_sanguineo","cor"
"Manoel Raimundo da Conceição","25","946.314.869-88","17.758.653-9","21/12/1998","Masculino","Sagitário","Cristiane Tereza","José Caio Hugo da Conceição","manoel-daconceicao74@thacconstrutora.com.br","bdefHE1YjB","93295-113","Rua Tenente Francisco Pascoal Severo","267","Jardim Planalto","Esteio","RS","(51) 3620-8831","(51) 98261-4941","1,84","96","B+","amarelo"
"Heloise Francisca Lima","69","678.878.611-95","32.114.167-2","27/07/1954","Feminino","Leão","Gabrielly Mariah","João Rodrigo Lima","heloise.francisca.lima@cssmi.com.br","ecgblIEyb1","69901-782","Rua Maria Atenas","902","Vitória","Rio Branco","AC","(68) 3704-8966","(68) 98613-3316","1,53","50","B-","laranja"
"Ruan Oliver Murilo Lopes","62","381.443.257-61","42.297.295-2","11/07/1961","Masculino","Câncer","Lara Vera","Benjamin José Ian Lopes","ruan_oliver_lopes@w3ag.com","Yy80XPyHy9","80810-315","Jardinete Professor Benedito Nicolau dos Santos Filho","489","Vista Alegre","Curitiba","PR","(41) 2976-9644","(41) 99343-6372","1,88","91","AB-","azul"
"Emilly Maitê Elisa Moura","42","650.142.148-94","12.069.877-8","15/10/1981","Feminino","Libra","Louise Mariane Malu","Isaac Enzo Moura","emilly.maite.moura@netwis.com.br","29UpeKzRRL","74730-230","Rua 13-B","907","Conjunto Riviera","Goiânia","GO","(62) 2905-0914","(62) 99899-3835","1,56","51","O-","azul"
"Emily Cristiane Alana Fernandes","64","932.638.311-35","29.084.693-6","02/02/1959","Feminino","Aquário","Larissa Tânia Luna","Luan Ruan Luan Fernandes","emily.cristiane.fernandes@inepar.com.br","J4756Re7JZ","54460-386","Travessa Canto Livre","220","Barra de Jangada","Jaboatão dos Guararapes","PE","(81) 3796-0603","(81) 99751-9901","1,60","76","O+","roxo"
"Silvana Lara Nunes","68","520.787.618-00","22.780.988-9","07/04/1955","Feminino","Áries","Jéssica Isabelly Heloise","Felipe Yago Nicolas Nunes","silvanalaranunes@henrimar.com.br","Ki18maqo0a","27514-180","Travessa Antônio de Almeida Vianna","209","Vila Moderna","Resende","RJ","(24) 2831-2785","(24) 98352-1260","1,73","83","AB-","azul"
"Luiz Diogo Roberto Cavalcanti","59","098.623.647-00","34.851.117-6","25/11/1964","Masculino","Sagitário","Laís Fabiana","Antonio Breno Carlos Cavalcanti","luiz-cavalcanti84@ambev.com.br","WcSmLrdaEc","76801-492","Rua Jamary","304","Pedrinhas","Porto Velho","RO","(69) 3701-8862","(69) 98330-3006","1,76","110","AB+","verde"
"Yago Iago Benedito Viana","19","740.074.091-10","13.933.400-2","06/08/2004","Masculino","Leão","Elisa Luzia Melissa","Davi Bernardo Viana","yago-viana92@belbrindes.com","LruHPxe6E3","61650-245","Travessa Penélope","439","Parque Guadalajara (Jurema)","Caucaia","CE","(85) 2602-9828","(85) 99893-2373","1,70","95","A+","amarelo"
"Tânia Brenda da Silva","72","480.454.753-31","22.749.339-4","08/04/1951","Feminino","Áries","Emanuelly Daiane Gabriela","Benjamin Cláudio Lorenzo da Silva","taniabrendadasilva@arcante.com.br","eotitc3ge8","49072-050","Rua Bahia","932","Dezoito do Forte","Aracaju","SE","(79) 2981-2055","(79) 99921-9363","1,85","51","AB+","laranja"
"Lúcia Sarah Monteiro","33","013.145.096-40","37.626.527-9","09/11/1990","Feminino","Escorpião","Isis Liz","Bruno Luís Roberto Monteiro","luciasarahmonteiro@zf.com","PY5mYc0qxJ","35663-732","Rua São Judas Tadeu","704","Ascenção","Pará de Minas","MG","(37) 3758-1189","(37) 98475-1839","1,50","73","O-","roxo"
